Rank,year,title,letterboxd_url
589,1963,Charade,https://letterboxd.com/film/charade/
590,1989,A City of Sadness,https://letterboxd.com/film/a-city-of-sadness/
591,1971,Demons,https://letterboxd.com/film/demons-1971/
592,1936,Dodsworth,https://letterboxd.com/film/dodsworth/
593,1969,"They Shoot Horses, Don't They?",https://letterboxd.com/film/they-shoot-horses-dont-they/
594,1982,The Road,https://letterboxd.com/film/the-road-1982/
595,1944,A Canterbury Tale,https://letterboxd.com/film/a-canterbury-tale/
596,1939,The Roaring Twenties,https://letterboxd.com/film/the-roaring-twenties/
597,1991,Thelma & Louise,https://letterboxd.com/film/thelma-louise/
598,1969,The Adventures of Goopy and Bagha,https://letterboxd.com/film/the-adventures-of-goopy-and-bagha/
599,1980,Who's Singin' Over There?,https://letterboxd.com/film/whos-singin-over-there/
600,1961,Divorce Italian Style,https://letterboxd.com/film/divorce-italian-style/
601,1958,Room at the Top,https://letterboxd.com/film/room-at-the-top/
602,1963,The Fire Within,https://letterboxd.com/film/the-fire-within/
603,1985,Vagabond,https://letterboxd.com/film/vagabond/
604,2019,Parasite,https://letterboxd.com/film/parasite-2019/
605,1932,Vampyr,https://letterboxd.com/film/vampyr/
606,1997,Good Will Hunting,https://letterboxd.com/film/good-will-hunting/
607,1999,All About My Mother,https://letterboxd.com/film/all-about-my-mother/
608,1966,The Hero,https://letterboxd.com/film/the-hero-1966/
609,1974,The Man Who Sleeps,https://letterboxd.com/film/the-man-who-sleeps/
610,1968,if....,https://letterboxd.com/film/if/
611,1978,Autumn Sonata,https://letterboxd.com/film/autumn-sonata/
612,2024,The Wild Robot,https://letterboxd.com/film/the-wild-robot/
613,1928,The Last Command,https://letterboxd.com/film/the-last-command/
614,1949,All the King's Men,https://letterboxd.com/film/all-the-kings-men/
615,1997,Taste of Cherry,https://letterboxd.com/film/taste-of-cherry/
616,1991,The Double Life of Véronique,https://letterboxd.com/film/the-double-life-of-veronique/
617,1954,Touchez Pas au Grisbi,https://letterboxd.com/film/touchez-pas-au-grisbi/
618,1957,Kanal,https://letterboxd.com/film/kanal-1957/
619,1978,Halloween,https://letterboxd.com/film/halloween-1978/
620,1928,The Man Who Laughs,https://letterboxd.com/film/the-man-who-laughs/
621,1955,All That Heaven Allows,https://letterboxd.com/film/all-that-heaven-allows/
622,1964,Onibaba,https://letterboxd.com/film/onibaba/
623,1995,A Personal Journey With Martin Scorsese Through American Movies,https://letterboxd.com/film/a-personal-journey-with-martin-scorsese-through-american-movies/
624,1965,Shadows of Forgotten Ancestors,https://letterboxd.com/film/shadows-of-forgotten-ancestors/
625,1937,A Star Is Born,https://letterboxd.com/film/a-star-is-born/
626,1963,Contempt,https://letterboxd.com/film/contempt/
